Date,Customer,Product,Voucher No.,Customer ID,Product ID,GSTIN/UIN,Quantity,Rate,Value,Cost of Sales,Gross Profit
01-04-2022,Florine Beahan,CHILLI- F1- GGIRNNAR ,LXM/1/2022-23,LXM/CST/1,LXM/PDT/1,24AABFU1871A160,0.04,35000,1400,1101.24,298.76
01-04-2022,Claudia Crist,BRINJAL SORATH - 11 ,LXM/2/2022-23,LXM/CST/2,LXM/PDT/2,23AHWPB1707F138,1,9000,9000,2311.2,6688.8
01-04-2022,Dr. Annabelle Koch,CHILLI- F1- GGIRNNAR ,LXM/3/2022-23,LXM/CST/3,LXM/PDT/1,24AAJFM5392J189,1,34000,34000,27529.8,6470.2
01-04-2022,Orion Stiedemann,CHILLI - F1 NISHA ,LXM/4/2022-23,LXM/CST/4,LXM/PDT/3,24AJGPP9575E267,1,34000,34000,18632,15368
01-04-2022,Citlalli Heaney,CHILLI - F1 NISHA ,LXM/5/2022-23,LXM/CST/5,LXM/PDT/3,24AQNPK1266H180,0.15,34000,5100,2712.69,2387.31
01-04-2022,Guillermo Weimann,CHILLI - F1 NISHA ,LXM/6/2022-23,LXM/CST/6,LXM/PDT/3,24AGOPP3739B158,0.05,34000,1700,904.23,795.77
01-04-2022,Florine Beahan,CHILLI - F1 NISHA ,LXM/7/2022-23,LXM/CST/1,LXM/PDT/3,24AABFU1871A160,0.08,34000,2720,1446.768,1273.232
01-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/8/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,1.5,34000,51000,27948,23052
01-04-2022,Nannie Heathcote,CHILLI- F1- GGIRNNAR ,LXM/9/2022-23,LXM/CST/8,LXM/PDT/1,24BAXPP9011N167,0.24,35000,8400,6607.44,1792.56
02-04-2022,Claudia Crist,HY. CORIANDER CORENDO SPLIT ,LXM/10/2022-23,LXM/CST/2,LXM/PDT/4,23AHWPB1707F138,1000,190,190000,155002,34998
02-04-2022,Citlalli Heaney,BRINJAL SORATH - 11 ,LXM/11/2022-23,LXM/CST/5,LXM/PDT/2,24AQNPK1266H180,1,8000,8000,2311.2,5688.8
02-04-2022,Chandler Stiedemann,CHILLI - F1 NISHA ,LXM/12/2022-23,LXM/CST/9,LXM/PDT/3,24ABGPH2188P161,3,34000,102000,55885.8,46114.2
02-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/13/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,5,34000,170000,93143,76857
02-04-2022,Hosea Watsica,HY. CORIANDER CORENDO SPLIT ,LXM/14/2022-23,LXM/CST/11,LXM/PDT/4,24AQNPK3705H112,150,210,31500,23250.15,8249.85
04-04-2022,Brennan Goldner,CHILLI - F1 NISHA ,LXM/15/2022-23,LXM/CST/12,LXM/PDT/3,24AZTPP9152J166,0.5,34000,17000,8884.2,8115.8
04-04-2022,Brennan Goldner,CHILLI- F1- GGIRNNAR ,LXM/16/2022-23,LXM/CST/12,LXM/PDT/1,24AZTPP9152J166,0.25,34000,8500,4442.1,4057.9
04-04-2022,Brennan Goldner,HY.CHILLI ISSHA 1712,LXM/17/2022-23,LXM/CST/12,LXM/PDT/5,24AZTPP9152J166,0.5,33000,16500,8622.9,7877.1
04-04-2022,Mr. Gabe Upton,CHILLI - F1 NISHA ,LXM/18/2022-23,LXM/CST/13,LXM/PDT/3,24AAMFP3130C136,1,34500,34500,18609.3,15890.7
04-04-2022,Miss Enos OKon,CHILLI- F1- GGIRNNAR ,LXM/19/2022-23,LXM/CST/14,LXM/PDT/1,23AHQPP7479D141,0.25,34000,8500,5019.25,3480.75
04-04-2022,Miss Enos OKon,HY.CHILLI ISSHA 1712,LXM/20/2022-23,LXM/CST/14,LXM/PDT/5,23AHQPP7479D141,0.25,33000,8250,4871.625,3378.375
04-04-2022,Citlalli Heaney,HYB.BRINJAL ANAND-23,LXM/21/2022-23,LXM/CST/5,LXM/PDT/6,24AQNPK1266H180,0.2,8500,1700,766.53,933.47
04-04-2022,Citlalli Heaney,BITTER GOURD F1 AKHILESSHH ,LXM/22/2022-23,LXM/CST/5,LXM/PDT/7,24AQNPK1266H180,0.5,7500,3750,1690.875,2059.125
